country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124075313,1.0,1.0,1.0,2.0,8.0,7.0,8.0,An atheist,3.0,Male,1944.0,76.0,Married,Retired/pensioned
CAN,124075314,2.0,2.0,2.0,1.0,7.0,8.0,7.0,A religious person,8.0,Male,1977.0,43.0,Divorced,Full time
CAN,124075315,1.0,1.0,1.0,2.0,10.0,6.0,5.0,An atheist,5.0,Female,1971.0,49.0,Widowed,Unemployed
CAN,124075316,1.0,1.0,1.0,4.0,9.0,9.0,8.0,Not a religious person,8.0,Male,1954.0,66.0,Married,Retired/pensioned
CAN,124075317,1.0,1.0,1.0,2.0,7.0,7.0,8.0,A religious person,6.0,Female,1982.0,38.0,Living together as married,Full time
CAN,124075318,1.0,1.0,1.0,1.0,9.0,9.0,7.0,A religious person,9.0,Male,1961.0,59.0,Married,Retired/pensioned
CAN,124075319,1.0,2.0,2.0,2.0,10.0,8.0,7.0,An atheist,10.0,Male,1954.0,66.0,Married,Self employed
CAN,124075320,2.0,3.0,1.0,3.0,8.0,5.0,8.0,A religious person,6.0,Male,1980.0,39.0,Married,Full time
CAN,124075321,1.0,2.0,2.0,4.0,8.0,7.0,9.0,Not a religious person,7.0,Male,1955.0,65.0,Divorced,Retired/pensioned
CAN,124075322,1.0,1.0,2.0,1.0,8.0,8.0,9.0,Not a religious person,9.0,Male,1977.0,43.0,Single,Full time
CAN,124075323,3.0,3.0,3.0,1.0,10.0,9.0,9.0,Not a religious person,8.0,Male,1976.0,44.0,Living together as married,Full time
CAN,124075324,1.0,1.0,1.0,3.0,6.0,5.0,3.0,Not a religious person,5.0,Female,1957.0,62.0,Married,Student
CAN,124075326,1.0,1.0,1.0,2.0,6.0,10.0,5.0,A religious person,5.0,Female,1956.0,64.0,Married,Retired/pensioned
CAN,124075327,1.0,2.0,1.0,1.0,5.0,8.0,8.0,A religious person,4.0,Male,1943.0,76.0,Widowed,Retired/pensioned
